,id,subnumber,headword,context,,ste,nsm,translation,ref,filename,speaker,1,2,3,chaptertitle,sectiontitle,relatedword,relatedphrase,relatedvalue,functiontags,notes
,4,6,,,,"  {""ste"": ""Everyone can say: ""I want this, I don't want this."" ""I think this, I don't think this.""""},{  ""ste"": ""I know: If someone says something, they say it because they want to say it.""},{  ""ste"": ""I can't say to someone: ""You have to do X because I want it."" ""You can't do X because I don't want it.""""},{  ""ste"": """"},{  ""ste"": """"},{  ""ste"": """"}","{""nsm"": ""everyone can say:""},{""nsm"": ""'I want this, I don't want this'""},{""nsm"": ""'I think this, I don't think this""},{""nsm"": ""one can't say to someone:""},{""nsm"": ""'you have to do X because I want it'""},{""nsm"": ""'you can't do X because I don't want it'""},",,,,,,,,,,,,,,
,5,1,a sense of autonomy,,"When someone is doing something, it is good if this someone can think about it like this: “I’m doing this because I want to do it”","  {""ste"": ""When someone is doing something, it is good if this someone can think about it like this: “I’m doing this because I want to do it”""}","{""nsm"": ""many people think like this:""},",,{Wierzbicka:2012un p.135},,,,,value,,,,,personal autonomy,,
,5,2,,,,"  {""ste"": ""When someone is doing something, it is good if this someone can think about it like this: “I’m doing this because I want to do it”""},{  ""ste"": """"}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, it is good if this someone can think about it like this:""},",,,,,,,,,,,,,,
,5,3,,,,"  {""ste"": ""When someone is doing something, it is good if this someone can think about it like this: “I’m doing this because I want to do it”""},{  ""ste"": """"},{  ""ste"": """"}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, it is good if this someone can think about it like this:""},{""nsm"": ""“I’m doing this because I want to do it”""},",,,,,,,,,,,,,,
,6,1,perception of autonomy,,"When I do something, I don’t want other people to think like this about me: “Someone else wants [this person] to do it. He/she can’t not do it because of this.”","  {""ste"": ""When I do something, I don’t want other people to think like this about me: “Someone else wants this person] to do it. He/she can’t not do it because of this.”""}","{""nsm"": ""[people think like this:]""},",,{Wong:2004tw p.236},,,,,value,,,,,,,
,6,2,,,"If someone thinks like this about me, I feel something bad.","  {""ste"": ""When I do something, I don’t want other people to think like this about me: “Someone else wants this person] to do it. He/she can’t not do it because of this.”""},{  ""ste"": ""If someone thinks like this about me, I feel something bad.""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I do something, I don’t want someone else to think like this about me:""},",,,,,,,,,,,,,,
,6,3,,,,"  {""ste"": ""When I do something, I don’t want other people to think like this about me: “Someone else wants this person] to do it. He/she can’t not do it because of this.”""},{  ""ste"": ""If someone thinks like this about me, I feel something bad.""},{  ""ste"": """"}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I do something, I don’t want someone else to think like this about me:""},{""nsm"": ""this person can’t not do it because someone else wants this person to do it""},",,,,,,,,,,,,,,
,6,4,,,,"  {""ste"": ""When I do something, I don’t want other people to think like this about me: “Someone else wants this person] to do it. He/she can’t not do it because of this.”""},{  ""ste"": ""If someone thinks like this about me, I feel something bad.""},{  ""ste"": """"},{  ""ste"": """"}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I do something, I don’t want someone else to think like this about me:""},{""nsm"": ""this person can’t not do it because someone else wants this person to do it""},{""nsm"": ""if someone else thinks like this about me, I will feel something bad""},",,,,,,,,,,,,,,
,7,1,"defiance, rebelliousness, and larrikinism",,"It is good if a person thinks: ""Some people say that it is bad to do some things. I don’t think ‘I can’t do these things because of this’.”","  {""ste"": ""It is good if a person thinks: ""Some people say that it is bad to do some things. I don’t think ‘I can’t do these things because of this’.”""}","{""nsm"": ""it is good if a person thinks:""},",,{Wierzbicka:2002gq p.1196},,,,,value,,,,,,,
,7,2,,,,"  {""ste"": ""It is good if a person thinks: ""Some people say that it is bad to do some things. I don’t think ‘I can’t do these things because of this’.”""},{  ""ste"": """"}","{""nsm"": ""it is good if a person thinks:""},{""nsm"": """"some people say that it is bad to do some things""},",,,,,,,,,,,,,,
,7,3,,,,"  {""ste"": ""It is good if a person thinks: ""Some people say that it is bad to do some things. I don’t think ‘I can’t do these things because of this’.”""},{  ""ste"": """"},{  ""ste"": """"}","{""nsm"": ""it is good if a person thinks:""},{""nsm"": """"some people say that it is bad to do some things""},{""nsm"": ""I don’t want not to do these things because of this""""},",,,,,,,,,,,,,,
,8,1,freedom of expression,,"If I think something, I can say: “I think about it like this.”","  {""ste"": ""If I think something, I can say: “I think about it like this.”""}","{""nsm"": ""[people think like this:]""},",,{Wierzbicka:2006hj p. 93},,,,,value,,,,,,,
,8,2,,,Everyone can do this.,"  {""ste"": ""If I think something, I can say: “I think about it like this.”""},{  ""ste"": ""Everyone can do this.""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""if I think something about something I can say: “I think about it like this”""},",,,,,,,,,,,,,,
,8,3,,,It is bad if people can’t do this.,"  {""ste"": ""If I think something, I can say: “I think about it like this.”""},{  ""ste"": ""Everyone can do this.""},{  ""ste"": ""It is bad if people can’t do this.""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""if I think something about something I can say: “I think about it like this”""},{""nsm"": ""everyone can do this""},",,,,,,,,,,,,,,
,9,1,everyone has the right to say what they think,,When someone says to me about something,"  {""ste"": ""When someone says to me about something""}","{""nsm"": ""[people think like this:]""},",,{Wierzbicka:2006hj p. 94},,,,,value,,,,,,,
,9,2,,,:”I think about it like this,"  {""ste"": ""When someone says to me about something""},{  ""ste"": "":”I think about it like this""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when someone says to me about something: “I think about it like this”""},",,,,,,,,,,,,,,
,9,3,,,”,"  {""ste"": ""When someone says to me about something""},{  ""ste"": "":”I think about it like this""},{  ""ste"": ""”""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when someone says to me about something: “I think about it like this”""},{""nsm"": ""if I don't think the same""},",,,,,,,,,,,,,,
